m,Em4_skewness
-0.5,0.0746801418869777
-0.475,0.07422990433514227
-0.44999999999999996,0.07379408030305519
-0.42500000000000004,0.07337235357831669
-0.4,0.07296441698167615
-0.375,0.07256997107524307
-0.35,0.07218872303475761
-0.32499999999999996,0.07182038567146476
-0.30000000000000004,0.07146467659413609
-0.275,0.07112131749986356
-0.25,0.07079003358310484
-0.22499999999999998,0.07047055305470683
-0.19999999999999998,0.07016260675946766
-0.17500000000000002,0.06986592788712179
-0.15000000000000002,0.0695802517636998
-0.125,0.06930531572006282
-0.09999999999999998,0.06904085902572205
-0.07499999999999998,0.06878662288551948
-0.05000000000000002,0.06854235048546117
-0.025000000000000022,0.06830778708858584
0.0,0.06808268017015491
0.025000000000000022,0.06786677958606464
0.050000000000000044,0.06765983777200421
0.07499999999999996,0.06746160996545784
0.09999999999999998,0.06727185444663634
0.125,0.06709033279416436
0.15000000000000002,0.06691681015097525
0.17500000000000004,0.06675105549651515
0.19999999999999996,0.06659284192219997
0.22499999999999998,0.06644194690615768
0.25,0.06629815258610787
0.275,0.06616124602511961
0.30000000000000004,0.06603101947090699
0.32499999999999996,0.06590727060447193
0.35,0.065789802777773
0.375,0.06567842523816213
0.4,0.06557295333881989
0.42500000000000004,0.06547320873425476
0.44999999999999996,0.0653790195595153
0.475,0.06529022059353373
0.5,0.06520665340522325
