Date,c_rgd_obs,ifi_rgd_obs,gdp_rgd_obs,gdpdef_obs,wage_rgd_obs,ffr_obs,cpiinf_obs,emp_obs,unr_obs,hours_sw07_obs,core_obs
1965Q1,1.60387774884128,3.52741692004349,1.9718607140934,0.49960362803847,-0.0779265544136649,3.97666666666667,0.30,0.68,4.90,2.71470521448259,0.29089095744681
1965Q2,0.730279966213914,2.13534785391806,0.851487251657886,0.457666702741166,0.199782956246324,4.08,0.48,1.01,4.67,3.11923419103522,0.298457967169624
1965Q3,1.36489063260905,2.10840054022054,1.86633626922333,0.388218902638648,0.668208094755627,4.07666666666667,0.43,0.66,4.37,3.19735397412285,0.332083999338589
1965Q4,2.05338510456465,2.44970828051197,1.94251655206358,0.682749308385278,0.793169398973873,4.16666666666667,0.48,0.64,4.10,3.55095375412759,0.365364540409863
1966Q1,1.32368514180183,2.28370502238022,2.13681374611485,0.644876595526744,1.08062215027078,4.56,0.69,0.48,3.87,3.96802169409096,0.388870632051708
1966Q2,-0.0120967098884535,-0.402790473804515,0.0620128572772956,0.81128511423576,0.767779867330574,4.91333333333333,0.61,0.58,3.83,3.97093963015499,0.558468512753291
1966Q3,0.649079990846474,-1.17160766535224,0.558920333710944,0.96275564492605,0.465764494174579,5.41,0.89,0.68,3.77,3.98895875884432,0.654101392515227
1966Q4,0.0571285131697437,-2.59100166165709,0.518408351910807,0.834874197665858,0.500983697120248,5.56333333333333,0.84,0.78,3.70,4.02155392836153,0.764877890290788
1967Q1,0.10729383566661,-2.30368689694831,0.549624237141643,0.414837757857001,0.913640664607968,4.82333333333333,0.64,-0.12,3.83,3.05283943183178,0.76987380002157
1967Q2,0.96080588946171,2.05581004208395,-0.312175154862643,0.509452770992125,1.0939913651868,3.99,0.71,0.58,3.83,2.62843218895625,0.719895287958117
1967Q3,-0.0249228182627235,0.367953491494802,0.448364929350191,0.952920517006417,0.387099534400328,3.89333333333333,0.65,0.96,3.80,3.00414045115355,0.775245163000265
1967Q4,-0.102122950822036,2.54613228151416,0.298413268952118,1.10649740547193,0.255007445980262,4.17333333333333,0.82,0.67,3.90,3.17414432545758,0.789459857082808
1968Q1,1.94465016830225,1.83209298151561,1.62994880039059,1.09957073357219,1.54043173884981,4.79,0.98,-0.15,3.73,2.29704168927373,1.00847590645111
1968Q2,1.13205503749998,-0.697878642932238,1.31946411247588,1.05171872138672,0.56709828333512,5.98333333333333,1.05,1.12,3.57,3.26172561818339,1.10868774990912
1968Q3,1.50309331726464,0.734689479402647,0.363875554483229,0.974771044758471,0.636739773971229,5.94666666666667,1.12,0.20,3.53,3.04541378642494,1.1426735218509
1968Q4,-0.317319434787748,2.61491932888987,-0.0825471530886261,1.40200995359829,0.565206603422048,5.91666666666667,1.18,0.52,3.40,2.61073727079599,1.18041053328579
1969Q1,0.591590349226635,2.39102173042312,1.10597475286397,1.02636544456263,0.33248561033399,6.56666666666667,1.31,0.87,3.40,2.96431883479465,1.1579662039831
1969Q2,0.233892860785318,-0.0698615621066949,-0.104829477508588,1.26587086250316,0.338986918222481,8.32666666666667,1.37,0.57,3.43,2.98379770913749,1.15608373526925
1969Q3,-0.115933499658354,0.53448956545995,0.230049696350875,1.3949532378235,0.36620823689956,8.98333333333333,1.42,0.70,3.57,3.06162009601854,1.16156153203206
1969Q4,0.18905031148222,-2.72389267907673,-0.97098312961225,1.28050091496439,0.619915806398865,8.94,1.47,0.54,3.57,2.74385673257154,1.18798638132296
1970Q1,-0.141636928609557,-1.6133071678783,-0.666114925082297,1.39597676878895,0.385732687749424,8.57333333333333,1.52,0.26,4.17,2.06026310049981,1.16198029319875
1970Q2,-0.364312932760356,-1.85924457870271,-0.391726155598349,1.38602680838047,0.184253391086259,7.88666666666667,1.50,-0.18,4.77,0.653840463837639,1.15607623211824
1970Q3,0.452193358696434,0.0464510849740805,0.349002636579939,0.816971611441053,0.785535533227332,6.70666666666667,1.42,-0.03,5.17,-0.398582486312478,1.15462319112949
1970Q4,-0.878630477801778,-0.77935434942961,-1.66086372573557,1.31520755976915,-0.343507482934129,5.56666666666667,1.39,0.03,5.83,-1.02726956365746,1.23972698147374
1971Q1,0.775585534007064,1.67544481326115,2.12119956369395,1.50392316303085,0.536964000089881,3.85666666666667,1.11,0.09,5.93,-1.47684296915355,1.24127319492927
1971Q2,0.165719616855256,3.24064742371291,-0.0305608613284676,1.30535086197789,0.148287389386141,4.56666666666667,1.10,0.31,5.90,-1.76902240317537,1.26623966566731
1971Q3,0.206221620455722,1.28754332832108,0.267131109683646,1.01381132096021,0.350508147270467,5.47666666666667,1.02,0.69,6.03,-1.79546942183089,1.1474379126061
1971Q4,0.858878116147821,2.08494923199484,-0.331637176127629,0.830565946964734,-0.147762292724899,4.75,0.82,0.90,5.93,-1.11035282713601,0.936739659367397
1972Q1,-0.281003726806091,2.75186973656685,0.694722951047652,1.50857056686937,1.24317831632697,3.54666666666667,0.88,1.22,5.77,-0.995402420125458,0.885004157003455
1972Q2,1.32663207495369,1.25668238032796,1.71997633980857,0.620855881010796,0.541905400310249,4.3,0.74,0.81,5.70,-0.728561412909357,0.745816939772576
1972Q3,0.916771668209833,0.635366235034581,0.409927290857809,0.953513257533478,0.368235066439311,4.74333333333333,0.80,0.70,5.57,-0.634205109893742,0.782558289321139
1972Q4,1.39199171580918,3.92806611498506,1.18192262542004,1.26428154285771,0.598155002627109,5.14666666666667,0.85,0.67,5.37,-0.572393989123214,0.763261129114784
